08.11.2019 09:51:12.464 [http-bio-8888-exec-1] DEBUG  o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
08.11.2019 09:51:12.464 [http-bio-8888-exec-1] DEBUG  o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
08.11.2019 09:51:12.464 [http-bio-8888-exec-1] DEBUG  o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
08.11.2019 09:51:12.464 [http-bio-8888-exec-1] DEBUG  o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
08.11.2019 09:51:12.464 [http-bio-8888-exec-1] DEBUG  o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
08.11.2019 09:51:12.464 [http-bio-8888-exec-1] DEBUG  o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
08.11.2019 09:51:12.464 [http-bio-8888-exec-1] DEBUG  o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
08.11.2019 09:51:12.464 [http-bio-8888-exec-1] DEBUG  o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
08.11.2019 09:51:12.464 [http-bio-8888-exec-1] DEBUG  o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
08.11.2019 09:51:12.464 [http-bio-8888-exec-1] DEBUG  o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
08.11.2019 09:51:12.464 [http-bio-8888-exec-1] DEBUG  o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
08.11.2019 09:51:12.464 [http-bio-8888-exec-1] DEBUG  o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
08.11.2019 09:51:12.464 [http-bio-8888-exec-1] DEBUG  o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
08.11.2019 09:51:12.464 [http-bio-8888-exec-1] DEBUG  o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
08.11.2019 09:51:12.495 [http-bio-8888-exec-1] DEBUG  o.h.b.m.r.Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
08.11.2019 09:51:12.511 [http-bio-8888-exec-1] DEBUG  o.h.c.AnnotationBinder - Binding entity from annotated class: myApp.model.DictionaryEntity
08.11.2019 09:51:12.526 [http-bio-8888-exec-1] DEBUG  o.h.cfg.Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
08.11.2019 09:51:12.542 [http-bio-8888-exec-1] DEBUG  o.h.c.a.EntityBinder - Import with entity name DictionaryEntity
08.11.2019 09:51:12.542 [http-bio-8888-exec-1] DEBUG  o.h.b.m.r.Namespace - Created database namespace [logicalName=Name{catalog=null, schema=test}, physicalName=Name{catalog=null, schema=test}]
08.11.2019 09:51:12.542 [http-bio-8888-exec-1] DEBUG  o.h.c.a.EntityBinder - Bind entity myApp.model.DictionaryEntity on table t_dictionary
08.11.2019 09:51:12.558 [http-bio-8888-exec-1] DEBUG  o.h.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(test.t_dictionary), mappingColumn=id, insertable=true, updatable=true, unique=false}
08.11.2019 09:51:12.558 [http-bio-8888-exec-1] DEBUG  o.h.c.a.PropertyBinder - MetadataSourceProcessor property id with lazy=false
08.11.2019 09:51:12.573 [http-bio-8888-exec-1] DEBUG  o.h.c.AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [myApp.model.DictionaryEntity:id]
08.11.2019 09:51:12.573 [http-bio-8888-exec-1] DEBUG  o.h.c.a.SimpleValueBinder - building SimpleValue for id
08.11.2019 09:51:12.573 [http-bio-8888-exec-1] DEBUG  o.h.c.a.PropertyBinder - Building property id
08.11.2019 09:51:12.573 [http-bio-8888-exec-1] DEBUG  o.h.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(test.t_dictionary), mappingColumn=name, insertable=true, updatable=true, unique=false}
08.11.2019 09:51:12.573 [http-bio-8888-exec-1] DEBUG  o.h.c.a.PropertyBinder - MetadataSourceProcessor property name with lazy=false
08.11.2019 09:51:12.573 [http-bio-8888-exec-1] DEBUG  o.h.c.AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [myApp.model.DictionaryEntity:name]
08.11.2019 09:51:12.573 [http-bio-8888-exec-1] DEBUG  o.h.c.a.SimpleValueBinder - building SimpleValue for name
08.11.2019 09:51:12.573 [http-bio-8888-exec-1] DEBUG  o.h.c.a.PropertyBinder - Building property name
08.11.2019 09:51:12.573 [http-bio-8888-exec-1] DEBUG  o.h.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(test.t_dictionary), mappingColumn=value, insertable=true, updatable=true, unique=false}
08.11.2019 09:51:12.573 [http-bio-8888-exec-1] DEBUG  o.h.c.a.PropertyBinder - MetadataSourceProcessor property value with lazy=false
08.11.2019 09:51:12.573 [http-bio-8888-exec-1] DEBUG  o.h.c.AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [myApp.model.DictionaryEntity:value]
08.11.2019 09:51:12.573 [http-bio-8888-exec-1] DEBUG  o.h.c.a.SimpleValueBinder - building SimpleValue for value
